
n          , h    , d  , g  , t  , h_prob             , cpu_time_poly, wall_time_poly, cpu_time_ddsim, wall_time_ddsim, cpu_time_aer, wall_time_aer
3          , 1    , 16 , 29 , 4  , 0.05               , 0.0          , 0.000326      , 0.0           , 0.001652       , 0.0         , 0.001654
3          , 2    , 24 , 36 , 5  , 0.05               , 0.0          , 0.000338      , 0.0           , 0.001581       , 0.0         , 0.001585
3          , 3    , 45 , 71 , 6  , 0.05               , 0.0          , 0.000743      , 0.0           , 0.001848       , 0.0         , 0.001622
3          , 4    , 22 , 41 , 7  , 0.05               , 0.0          , 0.000765      , 0.0           , 0.001379       , 0.0         , 0.001315
3          , 5    , 99 , 147, 8  , 0.05               , 0.0          , 0.004097      , 0.01          , 0.002269       , 0.0         , 0.002795
3          , 6    , 70 , 104, 9  , 0.05               , 0.01         , 0.00539       , 0.0           , 0.001799       , 0.0         , 0.002269
3          , 7    , 78 , 109, 10 , 0.05               , 0.01         , 0.011159      , 0.0           , 0.001861       , 0.01        , 0.00232
3          , 8    , 33 , 54 , 11 , 0.05               , 0.01         , 0.011156      , 0.0           , 0.001668       , 0.0         , 0.001565
3          , 9    , 153, 238, 12 , 0.05               , 0.09         , 0.09005       , 0.0           , 0.00263        , 0.0         , 0.003824
3          , 10   , 151, 236, 13 , 0.05               , 0.18         , 0.179532      , 0.0           , 0.002678       , 0.0         , 0.003546
3          , 11   , 159, 230, 14 , 0.05               , 0.35         , 0.346602      , 0.0           , 0.002769       , 0.0         , 0.003824
3          , 12   , 135, 203, 15 , 0.05               , 0.61         , 0.611394      , 0.01          , 0.002965       , 0.0         , 0.003357
3          , 13   , 196, 276, 16 , 0.05               , 1.68         , 1.675489      , 0.01          , 0.003104       , 0.0         , 0.004126
3          , 14   , 243, 355, 17 , 0.05               , 4.29         , 4.286886      , 0.0           , 0.003435       , 0.0         , 0.004838
3          , 15   , 221, 353, 18 , 0.05               , 8.47         , 8.47456       , 0.01          , 0.003655       , 0.0         , 0.005028
3          , 16   , 208, 327, 19 , 0.05               , 15.84        , 15.840077     , 0.0           , 0.003273       , 0.0         , 0.004603
3          , 17   , 173, 260, 20 , 0.05               , 25.21        , 25.205914     , 0.0           , 0.002917       , 0.0         , 0.004254
3          , 18   , 287, 443, 21 , 0.05               , 85.24        , 85.247286     , 0.01          , 0.0033         , 0.0         , 0.005919
3          , 19   , 220, 330, 22 , 0.05               , 127.29       , 127.291891    , 0.01          , 0.003251       , 0.0         , 0.00475
3          , 20   , 234, 364, 23 , 0.05               , 271.61       , 271.642248    , 0.0           , 0.00348        , 0.01        , 0.00517
3          , 21   , 296, 459, 24 , 0.05               , 700.12       , 700.191963    , 0.01          , 0.003924       , 0.0         , 0.005974
3          , 22   , 205, 301, 25 , 0.05               , 921.58       , 921.691934    , 0.0           , 0.003394       , 0.01        , 0.004417
3          , 23   , 377, 583, 26 , 0.05               , -1           , -1            , 0.01          , 0.004528       , 0.0         , 0.007228
3          , 24   , 257, 417, 27 , 0.05               , -1           , -1            , 0.0           , 0.003263       , 0.01        , 0.005076
3          , 25   , 285, 429, 28 , 0.05               , -1           , -1            , 0.0           , 0.003493       , 0.01        , 0.005242
3          , 26   , 333, 504, 29 , 0.05               , -1           , -1            , 0.0           , 0.003456       , 0.01        , 0.006254
3          , 27   , 286, 445, 30 , 0.05               , -1           , -1            , 0.01          , 0.003534       , 0.0         , 0.005377
3          , 28   , 361, 565, 31 , 0.05               , -1           , -1            , 0.0           , 0.003827       , 0.01        , 0.006267
3          , 29   , 415, 637, 32 , 0.05               , -1           , -1            , 0.0           , 0.003915       , 0.01        , 0.007447
4          , 1    , 15 , 23 , 5  , 0.05               , 0.0          , 0.000256      , 0.0           , 0.001807       , 0.0         , 0.001194
4          , 2    , 23 , 50 , 6  , 0.05               , 0.0          , 0.000402      , 0.0           , 0.001383       , 0.01        , 0.00162
4          , 3    , 36 , 67 , 7  , 0.05               , 0.0          , 0.000701      , 0.0           , 0.001878       , 0.0         , 0.001685
4          , 4    , 66 , 118, 8  , 0.05               , 0.0          , 0.001683      , 0.0           , 0.0019         , 0.0         , 0.002578
4          , 5    , 38 , 78 , 9  , 0.05               , 0.0          , 0.002091      , 0.0           , 0.001724       , 0.0         , 0.001938
4          , 6    , 52 , 113, 10 , 0.05               , 0.0          , 0.005611      , 0.01          , 0.002064       , 0.0         , 0.002074
4          , 7    , 117, 213, 11 , 0.05               , 0.02         , 0.020068      , 0.0           , 0.002681       , 0.01        , 0.003207
4          , 8    , 53 , 110, 12 , 0.05               , 0.02         , 0.02081       , 0.01          , 0.002032       , 0.0         , 0.002172
4          , 9    , 116, 201, 13 , 0.05               , 0.08         , 0.077546      , 0.01          , 0.002459       , 0.0         , 0.003215
4          , 10   , 104, 200, 14 , 0.05               , 0.15         , 0.149856      , 0.01          , 0.002416       , 0.0         , 0.003188
4          , 11   , 174, 327, 15 , 0.05               , 0.51         , 0.518987      , 0.0           , 0.003032       , 0.01        , 0.004557
4          , 12   , 175, 318, 16 , 0.05               , 0.94         , 0.940221      , 0.0           , 0.003623       , 0.01        , 0.004665
4          , 13   , 87 , 169, 17 , 0.05               , 1.01         , 1.014042      , 0.01          , 0.002841       , 0.0         , 0.003057
4          , 14   , 105, 186, 18 , 0.05               , 2.27         , 2.26883       , 0.0           , 0.002702       , 0.01        , 0.003473
4          , 15   , 206, 382, 19 , 0.05               , 9.01         , 9.01224       , 0.01          , 0.00366        , 0.0         , 0.005324
4          , 16   , 219, 404, 20 , 0.05               , 19.03        , 19.033501     , 0.0           , 0.003706       , 0.01        , 0.005533
4          , 17   , 137, 252, 21 , 0.05               , 23.82        , 23.812794     , 0.01          , 0.003385       , 0.0         , 0.003994
